award,years,link,source_url,extraction_date
Abby Greer Award,2004 - 2025,https://www.baseball-almanac.com/awards/Abby_Greer_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
All-MLB Team,2019 - 2024,https://www.baseball-almanac.com/awards/All-MLB_Team.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
All-Star Game Most Valuable Player Award,1962 - 2024,https://www.baseball-almanac.com/awards/aw_mvpa.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
American Legion Player of the Year,1949 - 2024,https://www.baseball-almanac.com/awards/american_legion_player_of_the_year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Arizona Fall League Breakout Prospect of the Year,2021 - 2024,https://www.baseball-almanac.com/awards/AFL_Breakout_Player_of_the_Year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Arizona Fall League Defensive Player of the Year,2021 - 2024,https://www.baseball-almanac.com/awards/AFL_Defensive_Player_of_the_Year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Arizona Fall League Most Valuable Player,2002 - 2024,https://www.baseball-almanac.com/awards/Joe_Black_MVP_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Arizona Fall League Offensive Player of the Year,2021 - 2024,https://www.baseball-almanac.com/awards/AFL_Hitter_of_the_Year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Arizona Fall League Pitcher of the Year,2021 - 2024,https://www.baseball-almanac.com/awards/AFL_Pitcher_of_the_Year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Arizona Fall League Reliever of the Year,2021 - 2024,https://www.baseball-almanac.com/awards/AFL_Reliever_of_the_Year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Associated Press All-Star Award & Teams,1982 - 2000 | Discontinued in 2001,https://www.baseball-almanac.com/awards/aw_apas.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Associated Press Athlete of the Year Award,1931 - 2001 | Discontinued in 2001,https://www.baseball-almanac.com/awards/aw_apr.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Associated Press Manager of the Year Award,1959 - 2000 | Discontinued in 2001,https://www.baseball-almanac.com/awards/aw_mgy2.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Associated Press Player of the Year Award,1988 - 2000 | Discontinued in 2001,https://www.baseball-almanac.com/awards/aw_app.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Babe Ruth Award,1949 - 2024,https://www.baseball-almanac.com/awards/aw_mvpw2.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Baseball America College Player of the Year Award,1981 - 2024,https://www.baseball-almanac.com/awards/Baseball_America_College_Player_of_the_Year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Baseball America High School Player of the Year Award,1992 - 2024,https://www.baseball-almanac.com/awards/Baseball_America_High_School_Baseball_Player_of_the_Year_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Baseball America Minor League Player of the Year Award,1981 - 2024,https://www.baseball-almanac.com/awards/minor_league_player_of_the_year_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Baseball America Player of the Year Award,1998 - 2024,https://www.baseball-almanac.com/awards/Baseball_America_Player_of_the_Year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Baseball America Rookie of the Year Award,1989 - 2024,https://www.baseball-almanac.com/awards/Baseball_America_Rookie_of_the_Year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Baseball Digest Player of the Year Award,1969 - 2024,https://www.baseball-almanac.com/awards/aw_bdpy.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Baseball Digest Pitcher of the Year Award,1994 - 2024,https://www.baseball-almanac.com/awards/aw_bdpy2.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
BBWAA Career Excellence Award,1962 - 2025,https://www.baseball-almanac.com/awards/aw_spink.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Beacon Awards,2007 - 2015 | Discontinued in 2016,https://www.baseball-almanac.com/awards/Beacon_Awards.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Bob Feller Act of Valor Award,2013 - 2024,https://www.baseball-almanac.com/awards/Bob_Feller_Act_of_Valor_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Bob Feller Man of the Year Award,1937 - 2024,https://www.baseball-almanac.com/awards/cleveland_man_of_the_year_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Boston Red Sox Pitcher of the Year Award,1941 - 2023,https://www.baseball-almanac.com/awards/Red_Sox_Pitcher_of_the_Year_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Boston Red Sox Rookie of the Year Award,1990 - 2022,https://www.baseball-almanac.com/awards/Red_Sox_Rookie_of_the_Year_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Branch Rickey Award,1992 - 2014 | Discontinued in 2015,https://www.baseball-almanac.com/awards/aw_br.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Breakout Hitter of the Year Award,2009 - 2014 | Renamed Esurance MLB Awards in 2015,https://www.baseball-almanac.com/awards/breakout_hitter_of_the_year_gibby.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Breakout Pitcher of the Year Award,2012 - 2014 | Renamed Esurance MLB Awards in 2015,https://www.baseball-almanac.com/awards/breakout_pitcher_of_the_year_gibby.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Brewers Most Valuable Pitcher Award,1980 - 2024,https://www.baseball-almanac.com/awards/Brewers_Most_Valuable_Pitcher.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Brewers Top Newcomer Award,2000 - 2024,https://www.baseball-almanac.com/awards/Top_Newcomer_Award-Brewers.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Brooks Wallace Award,2004 - 2024,https://www.baseball-almanac.com/awards/wallace_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Bullpen of the Week Award,2016 - 2018 | Discontinued in 2019,https://www.baseball-almanac.com/awards/bullpen_of_the_week_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Buster Posey Award,2000 - 2024,https://www.baseball-almanac.com/awards/buster_posey_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Casey Award Winners,1983 - 2024,https://www.baseball-almanac.com/books/bookcasey.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Catfish Hunter Award,2004 - 2024,https://www.baseball-almanac.com/awards/catfish_hunter_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Chalmers Award,1911 - 1914 | Discontinued in 1915,https://www.baseball-almanac.com/awards/aw_chalm.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Charlie Hough Good Guy Award,1995 - 2024,https://www.baseball-almanac.com/awards/charlie_hough_good_guy_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Clint Hartung Award,1870 - 1990 | Discontinued in 2000,https://www.baseball-almanac.com/awards/clint_hartung_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Closer of the Year Award,2002 - 2014 | Renamed Esurance MLB Awards in 2015,https://www.baseball-almanac.com/awards/closer_of_the_year_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Clutch Performer of the Month Award,2007 - 2010 | Discontinued in 2011,https://www.baseball-almanac.com/awards/clutch_performer_of_the_month_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Clutch Performer of the Year Award,2007 - 2010 | Discontinued in 2011,https://www.baseball-almanac.com/awards/clutch_performer_of_the_year_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Comeback Player of the Year Award,2010 - 2014 | Renamed Esurance MLB Awards in 2015,https://www.baseball-almanac.com/awards/comeback_player_of_the_year_gibby.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Comeback Player of the Year Award,2005 - 2024,https://www.baseball-almanac.com/awards/comeback_player_of_the_year_award_2.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Comeback Player of the Year Award,1997 - 2024,https://www.baseball-almanac.com/awards/comeback_player_of_the_year_award_plch.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Commissioner's Historic Achievement Award,2002 - 2025,https://www.baseball-almanac.com/awards/Commissioners_Historic_Achievement_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Curt Flood Award,2020 - 2024,https://www.baseball-almanac.com/awards/Curt_Flood_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Cy Young Award,1956 - 2024,https://www.baseball-almanac.com/awards/aw_cyy.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Dallas Green Special Achievement Award,2004 - 2014 | Discontinued in 2015,https://www.baseball-almanac.com/awards/dallas_green_special_achievement_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Darryl Kile Award,2003 - 2024,https://www.baseball-almanac.com/awards/darryl_kile_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Defensive Player of the Year Award,2002 - 2014 | Renamed Esurance MLB Awards in 2015,https://www.baseball-almanac.com/awards/defensive_player_of_the_year_award_plch.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Delivery Man of the Month Award,2005 - 2013 | Discontinued in 2014,https://www.baseball-almanac.com/awards/delivery_man_of_the_month_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Delivery Man of the Year Award,2005 - 2014 | Discontinued in 2014,https://www.baseball-almanac.com/awards/delivery_man_of_the_year_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Dernell Stenson Sportsmanship Award,2004 - 2024,https://www.baseball-almanac.com/awards/stenson_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Dick Howser Trophy,1987 - 2025,https://www.baseball-almanac.com/awards/dick_howser_trophy.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Edgar Martinez Award,1973 - 2024,https://www.baseball-almanac.com/awards/aw_out.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Ernie Lombardi Most Valuable Player Award,1955 - 2024,https://www.baseball-almanac.com/awards/Ernie_Lombardi_Reds_Most_Valuable_Player_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Esurance MLB Awards,2015 - 2017 | Discontinued in 2018,https://www.baseball-almanac.com/awards/Esurance_MLB_Awards.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Fall Stars Game MVP,2006 - 2024,https://www.baseball-almanac.com/awards/Fall_Stars_Game_MVP.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Fielding Bible Awards,2006 - 2024,https://www.baseball-almanac.com/awards/fielding_bible_awards.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Fishel Award,1981 - 2024,https://www.baseball-almanac.com/awards/fishel_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Ford C. Frick Award,1978 - 2025,https://www.baseball-almanac.com/awards/aw_frk.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Frank Gibbons-Steve Olin Good Guy Award,1968 - 2024,https://www.baseball-almanac.com/awards/good_guy_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Frank Slocum Big B.A.T. Award,1988 - 2022,https://www.baseball-almanac.com/awards/BAT_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Gatorade National Baseball Player of the Year,1985 - 2025,https://www.baseball-almanac.com/awards/gatorade_national_baseball_player_of_the_year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
GIBBY Awards,2002 - 2014 | Renamed Esurance MLB Awards in 2015,https://www.baseball-almanac.com/awards/this_year_in_baseball_awards.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Gold Glove Catchers,1957 - 2024,https://www.baseball-almanac.com/awards/aw_ggca.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Gold Glove First Basemen,1957 - 2024,https://www.baseball-almanac.com/awards/aw_gg1b.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Gold Glove American League Outfielders,1957 - 2024,https://www.baseball-almanac.com/awards/aw_ggal.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Gold Glove National League Outfielders,1957 - 2024,https://www.baseball-almanac.com/awards/aw_ggnl.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Gold Glove Pitchers,1957 - 2024,https://www.baseball-almanac.com/awards/aw_ggpi.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Gold Glove Second Basemen,1957 - 2024,https://www.baseball-almanac.com/awards/aw_gg2b.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Gold Glove Shortstops,1957 - 2024,https://www.baseball-almanac.com/awards/aw_ggss.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Gold Glove Team Award,2020 - 2024,https://www.baseball-almanac.com/awards/Gold_Glove_Team_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Gold Glove Third Basemen,1957 - 2024,https://www.baseball-almanac.com/awards/aw_gg3b.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Gold Glove Utility Players,2022 - 2024,https://www.baseball-almanac.com/awards/Gold_Glove_Utility_Players.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Golden Spikes Award,1978 - 2024,https://www.baseball-almanac.com/awards/aw_goldenspikes.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Golden Tomahawk Award,1963 - 2002 | Discontinued in 2003,https://www.baseball-almanac.com/awards/golden_tomahawk_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Green Glove Award,2008 - 2024,https://www.baseball-almanac.com/awards/Green_Glove_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Hank Aaron Award,1999 - 2024,https://www.baseball-almanac.com/awards/aw_ha.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Heart & Hustle Award,2005 - 2024,https://www.baseball-almanac.com/awards/heart_and_hustle_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Hickok Belt,1950 - 1976 & 2012 - 2025,https://www.baseball-almanac.com/awards/hickok_belt.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Hitter of the Year Award,2002 - 2014 | Renamed Esurance MLB Awards in 2015,https://www.baseball-almanac.com/awards/player_of_the_year_award_TYIB.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Hutch Award,1965 - 2023,https://www.baseball-almanac.com/awards/aw_hut.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
International League Most Valuable Pitcher Award,1953 - 2024,https://www.baseball-almanac.com/awards/International_League_Most_Valuable_Pitcher.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
International League Most Valuable Player Award,1932 - 2024,https://www.baseball-almanac.com/awards/International_League_mvp.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
International League Top Prospect Award,1950 - 2024,https://www.baseball-almanac.com/awards/International_League_rookie_of_the_year.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Jack Graney Award,1987 - 2024,https://www.baseball-almanac.com/awards/Jack_Graney_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Jack Lang Award,1930 - 2024,https://www.baseball-almanac.com/awards/slocum_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Jackie Jensen Spirit Award,1990 - 2018 | Discontinued in 2019,https://www.baseball-almanac.com/awards/Red_Sox_Jensen_Spirit_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
James P. Dawson Award,1956 - 2025,https://www.baseball-almanac.com/awards/James_P_Dawson_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Jeff Conine Award,2008 - 2024,https://www.baseball-almanac.com/awards/jeff_conine_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Joe Bauman Home Run Award,2002 - 2024,https://www.baseball-almanac.com/awards/joe_bauman_award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Joe Cronin Award,1973 - 1999 | Discontinued in 1999,https://www.baseball-almanac.com/awards/Joe_Cronin_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Joe DiMaggio Toast of the Town Award,1983 - 2024,https://www.baseball-almanac.com/awards/Joe_DiMaggio_Toast_of_the_Town_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
Joe Nuxhall Good Guy Award,1991 - 2024,https://www.baseball-almanac.com/awards/Joe-Nuxhall-Good-Guy-Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
John Olerud Award,2010 - 2024,https://www.baseball-almanac.com/awards/John_Olerud_Award.shtml,https://www.baseball-almanac.com/me_award.shtml,2025-06-22
